"institution","number","name","start","end","code"
"Parlamento de España","0","Legislatura Constituyente","1977-07-01","1979-04-01","0"
"Parlamento de España","1","Legislatura I","1979-04-01","1982-12-01","I"
"Parlamento de España","2","Legislatura II","1982-12-01","1986-07-01","II"
"Parlamento de España","3","Legislatura III","1986-07-01","1989-12-01","III"
"Parlamento de España","4","Legislatura IV","1989-12-01","1993-07-01","IV"
"Parlamento de España","5","Legislatura V","1993-07-01","1996-05-01","V"
"Parlamento de España","6","Legislatura VI","1996-05-01","2000-04-01","VI"
"Parlamento de España","7","Legislatura VII","2000-04-01","2004-04-01","VII"
"Parlamento de España","8","Legislatura VIII","2004-04-01","2008-04-01","VIII"
"Parlamento de España","9","Legislatura IX","2008-04-01","2011-12-01","IX"
"Parlamento de España","10","Legislatura X","2011-12-01","2015-12-01","X"
"Parlamento de España","11","Legislatura XI","2015-12-01","2016-07-01","XI"
"Parlamento de España","12","Legislatura XII","2016-07-01","2019-05-01","XII"
"Parlamento de España","13","Legislatura XIII","2019-05-01","2020-01-01","XIII"
"Parlamento de España","14","Legislatura XIV","2020-01-01","2023-12-31","XIV"
"Senado de España","0","Legislatura Constituyente","1977-07-01","1979-04-01","0"
"Senado de España","1","Legislatura I","1979-04-01","1982-12-01","I"
"Senado de España","2","Legislatura II","1982-12-01","1986-07-01","II"
"Senado de España","3","Legislatura III","1986-07-01","1989-12-01","III"
"Senado de España","4","Legislatura IV","1989-12-01","1993-07-01","IV"
"Senado de España","5","Legislatura V","1993-07-01","1996-05-01","V"
"Senado de España","6","Legislatura VI","1996-05-01","2000-04-01","VI"
"Senado de España","7","Legislatura VII","2000-04-01","2004-04-01","VII"
"Senado de España","8","Legislatura VIII","2004-04-01","2008-04-01","VIII"
"Senado de España","9","Legislatura IX","2008-04-01","2011-12-01","IX"
"Senado de España","10","Legislatura X","2011-12-01","2015-12-01","X"
"Senado de España","11","Legislatura XI","2015-12-01","2016-07-01","XI"
"Senado de España","12","Legislatura XII","2016-07-01","2019-05-01","XII"
"Senado de España","13","Legislatura XIII","2019-05-01","2020-01-01","XIII"
"Senado de España","14","Legislatura XIV","2020-01-01","2999-12-31","XIV"
"Gobierno de España","0","Suárez I","1976-07-08","1977-07-05","0"
"Gobierno de España","1","Suárez II","1977-07-05","1979-04-06","I"
"Gobierno de España","2","Suárez III","1979-04-06","1981-02-27","II"
"Gobierno de España","3","Calvo-Sotelo I","1981-02-27","1982-12-03","III"
"Gobierno de España","4","González I","1982-12-03","1986-07-26","IV"
"Gobierno de España","5","González II","1986-07-26","1989-12-07","V"
"Gobierno de España","6","González III","1989-12-07","1993-07-14","VI"
"Gobierno de España","7","González IV","1993-07-14","1996-05-06","VII"
"Gobierno de España","8","Aznar I","1996-05-06","2000-04-28","VIII"
"Gobierno de España","9","Aznar II","2000-04-28","2004-04-18","IX"
"Gobierno de España","10","Zapatero I","2004-04-18","2008-04-14","X"
"Gobierno de España","11","Zapatero II","2008-04-14","2011-12-22","XI"
"Gobierno de España","12","Rajoy I","2011-12-22","2016-11-04","XII"
"Gobierno de España","13","Rajoy II","2016-11-04","2018-06-07","XIII"
"Gobierno de España","14","Sánchez I","2018-06-07","2020-01-13","XIV"
"Gobierno de España","15","Sánchez II","2020-01-13","2999-12-31","XV"
